"V1","nodeID"
528568,455391
528568,437684
513476,107883
779790,54568
779790,35529
507595,44748
507595,191044
784465,325926
507369,39825
507239,374816
784523,139470
507795,230495
507795,141456
522869,320794
522869,88808
524853,211679
527916,411312
527833,439187
509783,368313
522173,487521
780761,109079
514001,40257
514001,140892
531543,103268
509207,5280
507445,31542
507445,367928
517881,387601
525171,340477
532693,155689
532693,38677
505002,95165
523501,406718
517351,7247
511978,162259
511978,440162
511408,51306
519665,422355
783133,203546
529796,487738
505071,499890
505071,438564
526114,39443
781931,301920
516021,54658
527833,164212
505282,90796
512018,90796
505083,90796
525733,30924
525738,101907
510324,376377
520278,499787
530278,151614
530860,151614
512048,57500
509319,342321
509490,35583
509490,298542
536459,189750
779006,404291
508701,161956
512831,161956
516847,250316
512877,31351
512877,478020
505411,84546
506783,7369
512840,446870
527199,101103
536751,275141
514789,118961
527783,393685
781966,32766
525171,134089
781821,140909
508874,337479
515649,409715
781956,198800
505296,447998
509526,332226
779743,106271
527870,50659
509259,423135
513301,357380
529042,116779
529042,443089
510950,171369
783727,338634
784472,83487
521233,495550
533886,479603
507248,309589
519705,53821
527819,239073
784055,20610
784055,226446
782999,336693
782999,52418
512027,181719
509321,269844
531452,92766
785198,133450
530165,47528
506870,167619
532029,472768
530691,194837
530691,492280
505054,203195
535624,201651
508693,365459
505299,365459
511319,496340
506382,199229
506328,199229
513296,224584
532363,392265
530723,63757
778924,14826
778924,462198
530165,336370
515673,197774
782977,144177
513932,367503
513932,140592
531449,367503
531449,140592
533061,58180
783735,82644
511699,462404
785685,340085
785685,117854
782427,365766
526679,231936
525349,95147
505240,125193
779657,460571
781803,488384
534156,184389
534831,200067
505236,256538
505236,268234
517059,446877
533150,153771
511697,308181
784117,480989
522218,73515
517272,220240
507446,243087
781803,369584
505384,196218
505384,207851
781966,362421
505037,99262
521223,493717
535229,236276
784121,106370
514604,464013
505299,467998
505299,42787
536486,328484
512919,355271
507236,248287
505016,464067
505016,476419
506722,165115
513440,435281
516441,274436
516441,74176
513140,83009
512638,121184
512638,8887
783111,440006
505337,440006
524732,440006
530923,440006
513374,440006
505074,440006
505282,440006
514296,440006
515750,498586
779658,372124
779658,242653
528222,230928
508404,163617
508404,36375
505028,329250
505265,166077
505265,1929
518026,127645
782647,101365
512905,8596
511005,182097
530291,322222
507445,46729
507445,400135
517351,46729
517351,400135
522343,420402
517351,466746
