(7,3)
	64	262	536	839	1049	1351	2772	3265	3457	4690	5535	5669	6614	6854	7809	8263	8803	9072	10809	10844	11133	15460	18261	18652	19547	20975	30623	30743	39540	42222	43866	47436	48339	53421	54002	57319	88514	92581	95117	95656	95659	95663	95666	123499	205874	205881	205903	1294037	1295350	1295765	
	227	28916	84612	130163	1342487	1345662	1347036	
	48	17564	21557	1245475	1245505	1245778	
	3	43	72162	1433248	1438172	1438238	
	48	3027	4264	6108	6110	6778	1291405	1291454	1291461	
	3309	3690	355292	1322237	1322255	1322260	
	17239	18440	62610	1277389	1278886	1280026	
	2581	19082	19658	1410547	1418002	1418711	
	1638	2819	4264	8001	8597	1309851	1310106	1334942	
	42	2581	4225	6670	10844	38920	113062	158104	232031	1410045	1410547	1418002	
	3	52270	260236	1219643	1220265	1220276	
	219	1431	25076	114776	1254055	1254066	1254912	
	75679	147191	159356	1304566	1305531	1305640	
	1351	27151	71245	151037	1269060	1271840	1272540	
	456	3302	10400	27561	87959	87961	1295350	1295765	1297262	
	1351	6486	366765	1269060	1271839	1425416	
	64	19547	61534	1230776	1295350	1295765	
	7511	68390	135039	1361172	1361181	1361183	
	43	64	26708	1340174	1406511	1417401	
	3690	26040	41185	1307492	1312442	1322237	
	227	460	84612	214840	1347021	1347023	1347024	
	1369	3604	97800	1271686	1274526	1278056	
	43	145	147	2981	11219	26570	1278304	1280394	1284173	
	43	227	228	624	35471	1260007	1260046	1260751	
	13871	24237	26091	59759	92583	1242326	1242996	1244799	
	145	66779	163032	1222532	1224574	1225462	
	10386	10549	171934	1342535	1344239	1345488	
	2935	2936	2937	1270696	1280729	1281512	
	3182	44957	374450	1304341	1304478	1309192	
	21348	52878	329007	1392274	1392529	1392730	
	100	219	892	1558	3182	3676	4264	4804	4890	5003	5309	5450	6108	6110	8597	20014	1308823	1308871	1308886	
	41	43	46	48	801	1177	1834	19724	35977	63714	1243708	1243975	1244742	
	619	713	9946	1282661	1283395	1355777	
	43	232	43091	124707	1378405	1378452	1379089	
	12210	42785	78583	1269330	1269341	1270101	
	1351	4376	6104	147166	1325003	1333162	1333289	
	32356	33924	288822	1306417	1308390	1308871	
	48	219	76640	1289876	1290143	1290789	
	839	55862	128365	1263232	1266450	1275547	
	3182	44957	71251	235509	1304341	1304478	1304851	
	10402	10408	10415	1307722	1307730	1310529	
	43	228	232	142199	1378108	1378441	1378446	
	48	226	1718	3425	4171	1278209	1388144	1406860	
	2251	30964	62549	1216578	1218578	1218908	
	8006	51557	67128	1228655	1228722	1228730	
	3693	20473	41046	1334036	1334062	1335087	
	260	995	31816	189776	1318819	1319657	1319679	
	3	23476	62453	1219645	1220265	1220320	
	48	145	219	5798	1323596	1323631	1325535	
	1325	95522	112030	1336604	1339070	1349385	
	48	19747	22304	1418104	1418117	1418219	
	143	902	4148	1287377	1287547	1287603	
	3	43	345143	1437506	1438238	1438492	
	1351	8803	152418	1295350	1315418	1321106	
	48	145	219	26296	1300763	1300933	1301156	
	43	145	219	18972	18973	1241540	1241553	1241604	
	48	145	64919	1302390	1304827	1304829	
	64	536	1049	1369	95673	1288706	1295350	1413489	
	2668	16863	231922	1322058	1322066	1322079	
	219	2644	358991	1246234	1331393	1374045	
	7643	15851	165002	1423851	1424718	1425147	
	1269	1351	94809	144447	208828	1222727	1222835	1222874	
	48	145	3496	3532	3534	1279850	1284245	1285187	
	54693	75997	141441	1308087	1308918	1311132	
	219	7809	71303	1428717	1429359	1429652	
	43	7663	56646	1224423	1224433	1224447	
	608	5535	20680	113815	1322862	1347036	1348654	
	5535	9253	28957	42248	75283	105960	129177	147279	1228841	1230275	1232282	
	145	789	225407	1229068	1229141	1229149	
	43	48	145	3182	30289	1224579	1224581	1226147	
	43	8693	23004	1431627	1436510	1436640	
	839	1369	272410	1274530	1274834	1278056	
	1351	4225	38797	54667	54670	54674	1365817	1365827	1365829	
	5535	23018	186191	1327315	1327688	1328132	
	1357	24741	49629	99157	207505	1347024	1349106	1350646	
	4376	4980	253739	1333545	1336029	1336609	
	43	48	145	167315	1332949	1388977	1405370	
	2251	3425	124492	328021	1319342	1319481	1319488	
	43	7363	141458	1261437	1261537	1261547	
	30743	72170	345264	1440906	1441064	1441381	
	43	3568	20889	172831	1350645	1352097	1353446	
	43	839	3221	30858	1224433	1224438	1224480	
	48	1638	3182	5003	6108	281907	1233503	1234372	1234386	
	43	101612	126596	1320510	1324072	1346313	
	3182	4264	22094	1310106	1315478	1332916	
